ENSG00000078674	ENSG00000112877
ENSG00000078674	ENSG00000116903
ENSG00000078674	ENSG00000120860
ENSG00000078674	ENSG00000136813
ENSG00000078674	ENSG00000138443
ENSG00000078674	ENSG00000151491
ENSG00000078674	ENSG00000168395
ENSG00000078674	ENSG00000171345
ENSG00000078674	ENSG00000171346
ENSG00000078699	ENSG00000112559
ENSG00000078699	ENSG00000156795
ENSG00000078902	ENSG00000131721
ENSG00000078902	ENSG00000157110
ENSG00000078902	ENSG00000180096
ENSG00000078902	ENSG00000183283
ENSG00000078902	ENSG00000198728
ENSG00000078967	ENSG00000091073
ENSG00000078967	ENSG00000185247
ENSG00000078967	ENSG00000204599
ENSG00000079102	ENSG00000084463
ENSG00000079102	ENSG00000103154
ENSG00000079102	ENSG00000108798
ENSG00000079102	ENSG00000132016
ENSG00000079102	ENSG00000143702
ENSG00000079102	ENSG00000187325
ENSG00000079393	ENSG00000175602
ENSG00000079462	ENSG00000079462
ENSG00000079462	ENSG00000125775
ENSG00000079462	ENSG00000147457
ENSG00000079462	ENSG00000168092
ENSG00000079689	ENSG00000092531
ENSG00000079974	ENSG00000174007
ENSG00000079999	ENSG00000120705
ENSG00000080298	ENSG00000127191
ENSG00000080298	ENSG00000185002
ENSG00000080561	ENSG00000170788
ENSG00000080839	ENSG00000101773
ENSG00000080839	ENSG00000183092
ENSG00000080986	ENSG00000104164
ENSG00000080986	ENSG00000114019
ENSG00000080986	ENSG00000117153
ENSG00000080986	ENSG00000120860
ENSG00000080986	ENSG00000130307
ENSG00000081307	ENSG00000164062
ENSG00000081721	ENSG00000105404
ENSG00000081870	ENSG00000100360
ENSG00000082213	ENSG00000084463
ENSG00000082213	ENSG00000130165
ENSG00000082397	ENSG00000151332
ENSG00000083838	ENSG00000107882
ENSG00000083838	ENSG00000128185
ENSG00000083838	ENSG00000137185
ENSG00000083838	ENSG00000140987
ENSG00000083838	ENSG00000162714
ENSG00000083838	ENSG00000167840
ENSG00000083838	ENSG00000172466
ENSG00000083838	ENSG00000196812
ENSG00000083838	ENSG00000197279
ENSG00000083937	ENSG00000127191
ENSG00000084463	ENSG00000100201
ENSG00000084463	ENSG00000125733
ENSG00000084463	ENSG00000130347
ENSG00000084463	ENSG00000187778
ENSG00000084764	ENSG00000135363
ENSG00000084764	ENSG00000166974
ENSG00000085231	ENSG00000164587
ENSG00000086200	ENSG00000115556
ENSG00000086200	ENSG00000127191
